Player,Span,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Education,City
AM Fernando,20172023,20,47,10*,4.27,0,38,Jun-51,34.97,1,3,0,30.7
RTM Mendis,20212023,20,417,45*,18.95,0,68,Jun-70,29.8,5,6,0,10.85
K Weeraratne,20002009,20,209,41,19,0,10,Apr-19,51.1,0,7,0,32.09
SHU Karnain,19841990,19,229,41*,19.08,0,16,May-26,31.56,1,1,0,12.47
ML Udawatte,20082018,19,376,73,17.9,0,,,,,2,0,
KDK Vithanage,20132016,19,485,103*,22.04,1,1,Jan-73,150,0,13,0,127.95
DN Wellalage,20222023,19,236,42*,16.85,0,21,May-40,33.95,1,8,0,17.09
L Embuldeniya,20192022,17,191,40,7.34,0,71,7/137,36.77,5,2,0,29.42
WS Jayantha,20042004,17,400,74*,26.66,0,0,,,0,5,0,
SM Warnapura,20072009,17,856,120,32.92,2,0,,,0,17,0,
B Fernando,20152022,16,56,20,14,0,14,02-Dec,32.85,0,3,0,18.85
B Warnapura,19751982,16,276,77,13.8,0,8,Mar-42,45.25,0,7,0,31.44
KPJ Warnaweera,19861994,16,40,20,4.44,0,38,Apr-25,32.13,0,2,0,27.68
P Jayawickrama,20212022,15,19,8*,9.5,0,32,Jun-92,29.28,2,2,0,19.78
MAWR Madurasinghe,19881992,15,45,11,6.42,0,8,Mar-60,66.25,0,3,0,59.82
EMDY Munaweera,20122017,15,230,53,16.42,0,1,Jan-26,92,0,3,0,75.57
SKL de Silva,19971997,14,197,57,39.4,0,,,,,10,6,
PLS Gamage,20142018,14,10,3,1.66,0,19,Apr-57,50.78,0,2,0,49.12
KEA Upashantha,19952002,14,59,15,5.9,0,16,Apr-37,42.56,0,2,0,36.66
PHKD Mendis,20182022,13,264,61,22,0,2,Jan-32,110.5,0,3,0,88.49
M Pathirana,20222023,13,16,5,2.66,0,17,Apr-32,37.17,0,2,0,34.5
MA Aponso,20162018,12,10,4,2.5,0,14,Apr-18,32.57,0,0,0,30.07
KNA Bandara,20212023,12,238,55*,29.75,0,0,,,0,5,0,
M Bhanuka,20192021,12,210,36,17.5,0,,,,,11,1,
ERNS Fernando,19831984,12,213,46,14.2,0,,,,,0,0,
AK Perera,20132019,12,111,31,12.33,0,0,,,0,2,0,
DP Samaraweera,19931995,12,302,49,16.77,0,,,,,8,0,
ARS Silva,20172019,12,702,109,35.1,1,,,,,2,0,
RGCE Wijesuriya,19821985,12,40,12*,6.66,0,9,Feb-25,64.55,0,3,0,57.88
LHD Dilhara,20052013,11,101,29,11.22,0,8,02-Jun,36.37,0,3,0,25.15
HM Goonatilleke,19821982,11,208,56,23.11,0,,,,,10,7,
NGRP Jayasuriya,20182023,11,82,16,5.85,0,59,Jul-52,28.38,6,1,0,22.53
Pramod Madushan,20222023,11,19,15,3.8,0,15,Apr-34,21.2,0,5,0,17.39
AN Ranasinghe,19751982,11,241,77,21.9,0,3,Jan-21,116.66,0,0,0,94.75
KN Amalean,19861988,10,24,9,8,0,16,Apr-46,22.68,0,1,0,14.68
MRCN Bandaratilleke,19982001,10,93,25,10.33,0,25,May-36,32.36,1,0,0,22.02
GRA de Silva,19751982,10,50,14,7.14,0,16,Mar-41,40.43,0,2,0,33.29
CP Senanayake,19901991,10,223,64,18.58,0,,,,,4,0,
MKDI Amerasinghe,20072008,9,6,5*,,0,10,Mar-44,46.8,0,1,0,
PC de Silva,20142017,9,116,44,14.5,0,5,Feb-29,57.2,0,5,0,42.69
KHRK Fernando,20022006,9,81,24,13.5,0,10,03-Dec,26.7,0,3,0,13.19
MKGCP Lakshitha,20022003,9,49,40,12.25,0,13,Feb-33,31.69,0,1,0,19.44
PHT Kaushal,20142015,8,106,18,9.63,0,25,May-42,45.2,2,3,0,35.56
JRMVB Sanjaya,20172017,8,20,6,6.66,0,9,Feb-20,27.77,0,1,0,21.11
KJ Silva,19951998,8,7,6*,2.33,0,20,Apr-16,35.1,0,1,0,32.76
AM de Silva,19861993,7,22,9,4.4,0,,,,,8,3,
S Jeganathan,19831988,7,44,20*,6.28,0,5,Feb-45,44,0,1,0,37.71
LD Madushanka,20172021,7,36,20,6,0,4,Feb-70,52,0,0,0,45.99
AGD Wickremasinghe,19891993,7,19,13*,6.33,0,,,,,11,5,
CI Dunusinghe,19951995,6,161,91,14.63,0,,,,,14,3,
LWS Kaluperuma,19751982,6,45,14*,15,0,2,Jan-35,115,0,2,0,99.99
SMS Kaluperuma,19841988,6,99,23,9.9,0,2,Feb-17,63.5,0,8,0,53.59
PM Pushpakumara,20172018,6,113,42*,14.12,0,15,Mar-28,41.66,0,4,0,27.54
D Ranatunga,19891990,6,136,45,19.42,0,,,,,1,0,
KNM Fernando,20232023,5,385,205,48.12,1,,,,,5,0,
MNK Fernando,20232023,5,80,50,16,0,0,,,0,1,0,
Y Goonasekera,19831983,5,117,35,16.71,0,1,Jan-24,35,0,6,0,18.28
MADI Hemantha,20232023,5,39,22,19.5,0,2,Feb-49,96.5,0,1,0,76.99
CU Jayasinghe,20092010,5,49,38,49,0,,,,,0,0,
CKB Kulasekara,20112012,5,60,19,12,0,1,Jan-65,160,0,1,0,147.99
